,answer_count,articles_count,avatar_url,avatar_url_template,badge,follower_count,gender,headline,id,is_advertiser,is_followed,is_following,is_org,name,type,url,url_token,user_type
0,1,0,https://pic4.zhimg.com/v2-64e4d12d38aaf67995b3c126b1e2b7f2_is.jpg,https://pic4.zhimg.com/v2-64e4d12d38aaf67995b3c126b1e2b7f2_{size}.jpg,[],1,0,电视转播摄像+编辑出版学新生,df5d31db634bb47679726409e43b735e,False,False,False,False,何家小番茄,people,http://www.zhihu.com/api/v4/people/df5d31db634bb47679726409e43b735e,he-jia-dong-zhi,people
1,0,0,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,,07159df36dc7b5b7d339c0e946f3315d,False,False,False,False,东吴丶,people,http://www.zhihu.com/api/v4/people/07159df36dc7b5b7d339c0e946f3315d,dong-wu-zhu-94,people
2,29,0,https://pic3.zhimg.com/v2-7f8bc07c7d195033d91fe2ba89c1ed10_is.jpg,https://pic3.zhimg.com/v2-7f8bc07c7d195033d91fe2ba89c1ed10_{size}.jpg,[],13,1,动画专业,55a3191528c17e51bfb55d766c39ce30,False,False,False,False,大王植树,people,http://www.zhihu.com/api/v4/people/55a3191528c17e51bfb55d766c39ce30,wang-zhi-4-4,people
3,0,0,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,程序员,b4affb109f4df3aecc139d2b4d8194c0,False,False,False,False,driver,people,http://www.zhihu.com/api/v4/people/b4affb109f4df3aecc139d2b4d8194c0,driver-94,people
4,0,0,https://pic4.zhimg.com/v2-aa78e496b68754cd2b2a5fb735deb553_is.jpg,https://pic4.zhimg.com/v2-aa78e496b68754cd2b2a5fb735deb553_{size}.jpg,[],1,0,,5514048a783f26e40f8822cfc2e29cb9,False,False,False,False,徐嘘嘘,people,http://www.zhihu.com/api/v4/people/5514048a783f26e40f8822cfc2e29cb9,yz-liao-55,people
5,0,0,https://pic3.zhimg.com/v2-b10490767473839919cdb6a54cd27a09_is.jpg,https://pic3.zhimg.com/v2-b10490767473839919cdb6a54cd27a09_{size}.jpg,[],0,0,学生,40d7b3aafa83e4bbf8c3cffe898c9f9d,False,False,False,False,candy,people,http://www.zhihu.com/api/v4/people/40d7b3aafa83e4bbf8c3cffe898c9f9d,candy-81-14,people
6,2,0,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,学生,910196452cb1f0f63c573ab433d4ff2e,False,False,False,False,崎玉是真的强,people,http://www.zhihu.com/api/v4/people/910196452cb1f0f63c573ab433d4ff2e,tui-zhi-99,people
7,0,0,https://pic3.zhimg.com/v2-0a14e03d9e3999a7d5440cc716be5f04_is.jpg,https://pic3.zhimg.com/v2-0a14e03d9e3999a7d5440cc716be5f04_{size}.jpg,[],0,-1,程序员,aa78185218750ec44071d79480e45341,False,False,False,False,秋水无痕,people,http://www.zhihu.com/api/v4/people/aa78185218750ec44071d79480e45341,qiu-shui-wu-hen-64,people
8,0,0,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,[],1,1,,566024ec38986c7b0d558da4b479e42c,False,False,False,False,剑帝叶尘,people,http://www.zhihu.com/api/v4/people/566024ec38986c7b0d558da4b479e42c,shu-xiong-83,people
9,60,0,https://pic2.zhimg.com/015cae84eaf18404b905270aa5a016d8_is.jpg,https://pic2.zhimg.com/015cae84eaf18404b905270aa5a016d8_{size}.jpg,[],7,1,非智能人形生物,fef579645eb20ec7f087bd3b1c6b4f7f,False,False,False,False,刺秦,people,http://www.zhihu.com/api/v4/people/fef579645eb20ec7f087bd3b1c6b4f7f,12138-90,people
10,0,0,https://pic4.zhimg.com/ab6074d51a756c5310724852370dff2f_is.jpg,https://pic4.zhimg.com/ab6074d51a756c5310724852370dff2f_{size}.jpg,[],0,-1,,4e864c54ead6dbfedf16fe4648fe1f13,False,False,False,False,carryguo,people,http://www.zhihu.com/api/v4/people/4e864c54ead6dbfedf16fe4648fe1f13,carryguo,people
11,0,0,https://pic1.zhimg.com/v2-2cba9d0d49eb7129065ff7f8861959e2_is.jpg,https://pic1.zhimg.com/v2-2cba9d0d49eb7129065ff7f8861959e2_{size}.jpg,[],0,-1,理物玩家,2c67903a41819ad1facb3e5ee6e8ce61,False,False,False,False,Poor Kenny,people,http://www.zhihu.com/api/v4/people/2c67903a41819ad1facb3e5ee6e8ce61,flashpiont,people
12,0,0,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,,3831a31581e687ce1a7672be6ce62e82,False,False,False,False,胡子猴子胡子,people,http://www.zhihu.com/api/v4/people/3831a31581e687ce1a7672be6ce62e82,huyi-54,people
13,0,0,https://pic4.zhimg.com/v2-65eeaee0d7dedbfbefbebd802539e52a_is.jpg,https://pic4.zhimg.com/v2-65eeaee0d7dedbfbefbebd802539e52a_{size}.jpg,[],1,-1,学无止境,ddc521d564ede5f98592d3a0b6a6e105,False,False,False,False,TBridge,people,http://www.zhihu.com/api/v4/people/ddc521d564ede5f98592d3a0b6a6e105,zhi-zhi-wei-zhi-zhi-33-86-47,people
14,5,0,https://pic3.zhimg.com/v2-c61ebb20df806435576e58a120827b40_is.jpg,https://pic3.zhimg.com/v2-c61ebb20df806435576e58a120827b40_{size}.jpg,[],24,1,百刀代言人,6d49c28d1cadf457b89bd0609fbf7e94,False,False,False,False,疯火轮,people,http://www.zhihu.com/api/v4/people/6d49c28d1cadf457b89bd0609fbf7e94,wang-yu-33-24,people
15,0,0,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,[],2,-1,学生,f527f08c1c232ae487a2f7c2543ee692,False,False,False,False,Dr.Winger,people,http://www.zhihu.com/api/v4/people/f527f08c1c232ae487a2f7c2543ee692,dr-winger,people
